step,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
282,407353.35,C115073817,0.0,0.0,C1018298342,1294940.09,1702293.44,0,0,1,0,0,0
286,138635.76,C300728740,0.0,0.0,C1911624558,3625958.13,3764593.89,0,0,1,0,0,0
34,162079.78,C2022744268,65097.0,227176.78,C345498899,1161409.17,999329.39,0,0,0,0,0,0
436,539658.73,C1985701449,539658.73,0.0,C1862889538,0.0,539658.73,1,0,1,0,0,0
442,355969.72,C227175045,355969.72,0.0,C765607741,0.0,0.0,1,0,0,0,0,1
305,3838.55,C2072368085,73594.33,69755.78,M838545546,0.0,0.0,0,0,0,0,1,0
18,294207.0,C854718769,40026.0,0.0,C2026582920,0.0,294207.0,0,0,1,0,0,0
65,881811.11,C920552627,881811.11,0.0,C1105243161,0.0,0.0,1,0,0,0,0,1
505,745156.83,C2129553279,745156.83,0.0,C1601194258,0.0,0.0,1,0,0,0,0,1
352,330290.75,C44423884,1108.0,0.0,C854708564,0.0,330290.75,0,0,1,0,0,0
320,34099.1,C319281201,34099.1,0.0,C2021539165,0.0,0.0,1,0,0,0,0,1
229,191239.71,C1155741918,38029.0,0.0,C382300507,398086.91,589326.61,0,0,1,0,0,0
97,5624.02,C690034207,5624.02,0.0,C1902968473,204072.3,209696.33,1,0,1,0,0,0
315,76640.82,C47767227,76640.82,0.0,C756075054,0.0,76640.82,1,0,1,0,0,0
382,258197.13,C967008752,0.0,0.0,C1736667920,3329232.76,3587429.89,0,0,1,0,0,0
326,15177.97,C1516644096,15177.97,0.0,C743776906,796115.69,811293.67,1,0,1,0,0,0
254,10242.4,C456594306,150157.66,139915.26,M549767487,0.0,0.0,0,0,0,0,1,0
558,316877.85,C314495113,316877.85,0.0,C2019920995,0.0,316877.85,1,0,1,0,0,0
303,64710.59,C800439670,0.0,0.0,C1489380678,103392.26,168102.85,0,0,1,0,0,0
55,109028.8,C215685392,109028.8,0.0,C1679780828,0.0,0.0,1,0,0,0,0,1
32,401575.19,C2084058641,401575.19,0.0,C1017580631,0.0,0.0,1,0,0,0,0,1
102,548335.12,C1838392320,548335.12,0.0,C1134214570,0.0,0.0,1,0,0,0,0,1
18,4330.09,C2015580119,11260.87,6930.78,M1537538382,0.0,0.0,0,0,0,0,1,0
228,19681.6,C1645531212,0.0,0.0,C1460687172,847958.61,867640.21,0,0,1,0,0,0
701,91882.6,C1017446599,91882.6,0.0,C1901879882,144354.61,236237.2,1,0,1,0,0,0
654,114627.08,C12780702,114627.08,0.0,C548495641,0.0,0.0,1,0,0,0,0,1
148,99168.97,C193359947,99168.97,0.0,C1492417626,0.0,0.0,1,0,0,0,0,1
41,294478.61,C377317302,81338.0,0.0,C838671065,0.0,294478.61,0,0,1,0,0,0
207,7855.55,C2111624696,81651.6,73796.04,M306314632,0.0,0.0,0,0,0,0,1,0
700,346103.09,C1280889353,346103.09,0.0,C1483476946,0.0,0.0,1,0,0,0,0,1
681,5648.33,C1309111727,574017.0,568368.67,M591440824,0.0,0.0,0,0,0,0,1,0
673,888905.27,C1419832653,888905.27,0.0,C471935282,220392.44,1109297.71,1,0,1,0,0,0
482,296186.51,C792080112,296186.51,0.0,C1606793865,0.0,0.0,1,0,0,0,0,1
193,113273.1,C1707545075,113273.1,0.0,C700261838,0.0,0.0,1,0,0,0,0,1
211,54333.23,C343166560,203513.45,149180.22,C865790942,63373.09,117706.32,0,0,1,0,0,0
724,89845.29,C1281420811,89845.29,0.0,C1827800010,0.0,89845.29,1,0,1,0,0,0
579,150157.6,C1274544865,150157.6,0.0,C1571596943,0.0,0.0,1,0,0,0,0,1
187,856386.66,C1887925622,856386.66,0.0,C128909445,256445.98,1112832.65,1,0,1,0,0,0
211,11349.84,C434304157,77662.0,66312.16,M1011465049,0.0,0.0,0,0,0,0,1,0
6,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0,1,0,0,0
656,46291.81,C1608445918,46291.81,0.0,C797035468,0.0,0.0,1,0,0,0,0,1
603,39247.74,C1684585857,39247.74,0.0,C2029518292,3972842.93,4012090.67,1,0,1,0,0,0
560,357882.83,C496377670,357882.83,0.0,C1095351700,0.0,0.0,1,0,0,0,0,1
259,267809.54,C473754536,0.0,0.0,C261850798,600971.66,868781.2,0,0,1,0,0,0
19,481484.26,C1298482232,20078.0,0.0,C1324646278,420429.77,901914.03,0,0,1,0,0,0
334,18279.08,C901263431,43108.0,24828.92,M1022746235,0.0,0.0,0,0,0,0,1,0
423,281211.07,C186284506,49.01,0.0,C477775849,3550520.86,3831731.92,0,0,1,0,0,0
468,652782.54,C1743463751,652782.54,0.0,C400200038,170737.43,823519.97,1,0,1,0,0,0
573,438139.79,C653094177,438139.79,0.0,C1710300918,0.0,0.0,1,0,0,0,0,1
162,55918.82,C1703735685,105420.0,49501.18,C1161401741,1186587.47,1242506.29,0,0,1,0,0,0
241,3760.98,C1230650692,1038.0,0.0,M1680488576,0.0,0.0,0,0,0,0,1,0
264,84196.79,C1694088723,84196.79,0.0,C299259350,1094796.52,1008188.22,1,0,1,0,0,0
312,15189.74,C1670173643,29211.0,14021.26,M679416153,0.0,0.0,0,0,0,0,1,0
440,807278.78,C1493770976,807278.78,0.0,C1084758402,0.0,0.0,1,0,0,0,0,1
179,5296.79,C1336812254,0.0,0.0,M1237240418,0.0,0.0,0,0,0,0,1,0
38,3372.0,C2049498532,3372.0,0.0,C1540407960,0.0,0.0,1,0,0,0,0,1
375,61274.38,C900325388,0.0,0.0,M1545601634,0.0,0.0,0,0,0,0,1,0
355,89574.67,C499365174,8178.0,0.0,C148791428,2111.75,91686.43,0,0,1,0,0,0
151,338229.88,C1915521741,338229.88,0.0,C1011899331,0.0,0.0,1,0,0,0,0,1
210,23610.85,C1790329459,23610.85,0.0,C409233491,212041.22,235652.07,1,0,1,0,0,0
162,381151.87,C1946295522,0.0,0.0,C1168434189,994926.91,1376078.78,0,0,1,0,0,0
7,2008.49,C541390600,0.0,0.0,M1270140044,0.0,0.0,0,0,0,0,1,0
524,356224.26,C768066152,356224.26,0.0,C1886597663,0.0,0.0,1,0,0,0,0,1
278,240580.4,C412010733,240580.4,0.0,C265543802,0.0,240580.4,1,0,1,0,0,0
14,143032.0,C465166521,143032.0,0.0,C487776685,814654.61,1020323.73,1,0,1,0,0,0
181,11195.32,C1096900735,4620.0,15815.32,C2067331393,0.0,0.0,0,0,0,0,0,0
398,31334.57,C1745391689,31334.57,0.0,C1272673221,0.0,31334.57,1,0,1,0,0,0
40,14184.87,C362627066,0.0,0.0,M1946350391,0.0,0.0,0,0,0,0,1,0
406,50519.69,C779022344,752.0,51271.69,C1695809217,4208131.47,4157611.78,0,0,0,0,0,0
44,3981.08,C564493585,40191.0,36209.92,M1355134739,0.0,0.0,0,0,0,0,1,0
254,8824.77,C324186910,51563.41,42738.64,M2138968022,0.0,0.0,0,0,0,0,1,0
306,16909.53,C1565066658,73073.8,89983.33,C248600462,1128915.19,1112005.66,0,0,0,0,0,0
684,459.38,C295421144,459.38,0.0,C2125715094,0.0,0.0,1,0,0,0,0,1
68,281743.12,C47524114,281743.12,0.0,C645628840,158099.98,439843.09,1,0,1,0,0,0
10,120640.25,C1000789920,0.0,0.0,C900505277,137697.93,1000821.85,0,0,1,0,0,0
596,381247.3,C569564677,381247.3,0.0,C1231868978,0.0,0.0,1,0,0,0,0,1
38,360688.3,C739289668,360688.3,0.0,C432663857,0.0,0.0,1,0,0,0,0,1
250,17199.13,C1696372236,412.0,0.0,M2077398545,0.0,0.0,0,0,0,0,1,0
35,646771.03,C1251324288,366841.59,1013612.62,C498325445,857474.55,210703.53,0,0,0,0,0,0
10,10745.86,C1219665160,0.0,0.0,M1990351559,0.0,0.0,0,0,0,0,1,0
345,43520.94,C957106318,0.0,0.0,M1480153634,0.0,0.0,0,0,0,0,1,0
162,28389.99,C1855906875,30148.0,1758.01,M2018640740,0.0,0.0,0,0,0,0,1,0
346,11403.37,C1356991848,0.0,0.0,M364068529,0.0,0.0,0,0,0,0,1,0
151,443893.69,C1983851007,443893.69,0.0,C1777824686,0.0,0.0,1,0,0,0,0,1
234,88380.87,C65624789,39130.0,0.0,C2130504853,0.0,88380.87,0,0,0,0,0,1
482,296186.51,C306373969,296186.51,0.0,C1858951589,668223.65,964410.16,1,0,1,0,0,0
253,154201.26,C590158202,12838.0,167039.26,C624366946,0.0,0.0,0,0,0,0,0,0
10,9217.19,C184586799,9217.19,0.0,C812377986,0.0,96795.6,1,0,0,0,0,1
634,215299.28,C2040450460,215299.28,0.0,C1735529317,0.0,0.0,1,0,0,0,0,1
625,249749.05,C1809515003,249749.05,0.0,C1837079929,0.0,249749.05,1,0,1,0,0,0
273,103078.52,C1792169870,103078.52,0.0,C858355764,0.0,103078.52,1,0,1,0,0,0
375,84431.45,C2071178814,0.0,0.0,C1207946845,660163.48,744594.93,0,0,1,0,0,0
237,69670.37,C1855880092,20582.0,0.0,C2140820654,1712104.99,1781775.37,0,0,1,0,0,0
524,251724.43,C953973093,0.0,0.0,C1160139491,1229951.29,1481675.73,0,0,1,0,0,0
582,47662.13,C1447139298,47662.13,0.0,C1487365268,147954.8,195616.93,1,0,1,0,0,0
583,1583.28,C469202951,1583.28,0.0,C1107076598,0.0,0.0,1,0,0,0,0,1
613,86002.09,C1363187770,86002.09,0.0,C1320785064,0.0,86002.09,1,0,1,0,0,0
34,172313.81,C1559635376,0.0,0.0,C92005778,1909741.24,2082055.05,0,0,1,0,0,0
217,13266.93,C1202836602,13266.93,0.0,C1265498656,963180.13,976447.07,1,0,1,0,0,0
140,185879.42,C296322966,0.0,0.0,C565504222,417146.8,603026.22,0,0,1,0,0,0
351,118111.77,C454838857,118111.77,0.0,C838301055,0.0,0.0,1,0,0,0,0,1
444,408864.84,C1831363253,408864.84,0.0,C2045273924,0.0,0.0,1,0,0,0,0,1
554,2689.43,C1733605801,2689.43,0.0,C1430622047,0.0,0.0,1,0,0,0,0,1
325,36849.71,C330419405,373124.86,336275.16,M327179335,0.0,0.0,0,0,0,0,1,0
156,5619.33,C1342640191,51751.0,46131.67,M28823113,0.0,0.0,0,0,0,0,1,0
648,774868.1,C1516959235,774868.1,0.0,C1812639726,131877.41,906745.51,1,0,1,0,0,0
231,269942.29,C1298051410,15240.0,285182.29,C533687793,501682.89,231740.61,0,0,0,0,0,0
189,64968.59,C1759189613,35598.0,0.0,C597377608,217906.15,282874.75,0,0,1,0,0,0
404,103502.75,C1325274383,3593.0,107095.75,C1295366640,0.0,0.0,0,0,0,0,0,0
40,2734.81,C870708932,12652.08,9917.27,M340203751,0.0,0.0,0,0,0,0,1,0
235,293022.3,C183704346,11353.0,304375.3,C1778958666,0.0,0.0,0,0,0,0,0,0
120,236692.9,C1963509499,0.0,0.0,C1193128435,1082110.78,1318803.68,0,0,0,0,0,1
323,253901.9,C884192791,17809.0,271710.9,C1852529704,387083.68,133181.78,0,0,0,0,0,0
133,269187.45,C484225705,31434.0,300621.45,C1777787601,247285.19,0.0,0,0,0,0,0,0
249,1099.23,C1275341427,0.0,0.0,M296367332,0.0,0.0,0,0,0,0,1,0
268,754874.26,C1233845935,754874.26,0.0,C899674207,0.0,754874.26,1,0,1,0,0,0
212,36035.11,C1218258377,36035.11,0.0,C1181119627,0.0,36035.11,1,0,1,0,0,0
686,107732.98,C1782019043,107732.98,0.0,C237935260,0.0,0.0,1,0,0,0,0,1
510,177137.79,C1539613036,177137.79,0.0,C1789883459,0.0,0.0,1,0,0,0,0,1
37,93083.27,C1904979167,93083.27,0.0,C2067685892,0.0,0.0,1,0,0,0,0,1
523,159094.64,C1918934955,159094.64,0.0,C2113597324,0.0,0.0,1,0,0,0,0,1
161,18655.85,C592240506,772.0,0.0,M397744247,0.0,0.0,0,0,0,0,1,0
601,93253.25,C276457586,93253.25,0.0,C871887337,0.0,0.0,1,0,0,0,0,1
442,3085.45,C770294842,3085.45,0.0,C1211456762,45631.02,48716.47,1,0,1,0,0,0
134,7813.16,C452252147,42701.0,34887.84,C609121576,329882.78,337695.94,0,0,1,0,0,0
726,9065.44,C2119805225,9065.44,0.0,C1289962694,757856.9,766922.34,1,0,1,0,0,0
349,66993.9,C1421458749,21528.0,0.0,M748712014,0.0,0.0,0,0,0,0,1,0
650,50523.78,C1539163115,50523.78,0.0,C49597857,0.0,0.0,1,0,0,0,0,1
42,10720.59,C1263058879,0.0,0.0,M1339105562,0.0,0.0,0,0,0,0,1,0
661,493065.83,C1754910175,4989.0,498054.83,C420935953,2531436.6,2038370.76,0,0,0,0,0,0
177,68536.24,C1139422478,68536.24,0.0,C248138217,0.0,0.0,1,0,0,0,0,1
3,982.2,C42007293,0.0,0.0,M971324399,0.0,0.0,0,0,0,0,1,0
380,1560.5,C762764455,0.0,0.0,M1654297125,0.0,0.0,0,0,0,0,1,0
498,95064.86,C1691381242,95064.86,0.0,C2147250733,0.0,0.0,1,0,0,0,0,1
12,2007.0,C439464764,2007.0,0.0,C562360384,0.0,0.0,1,0,0,0,0,1
38,90204.54,C151033820,90204.54,0.0,C1303889891,0.0,0.0,1,0,0,0,0,1
35,441274.16,C2008089770,19895.0,0.0,C2019216788,171463.27,481209.47,0,0,1,0,0,0
274,138828.83,C1811008331,10759.0,0.0,C1532086219,330625.95,469454.77,0,0,1,0,0,0
318,247455.25,C2126511572,247455.25,0.0,C1932237865,0.0,0.0,1,0,0,0,0,1
121,254440.83,C339904211,254440.83,0.0,C2120724538,0.0,0.0,1,0,0,0,0,1
353,839008.91,C2024314550,839008.91,0.0,C510808127,0.0,0.0,1,0,0,0,0,1
140,53782.87,C1507289159,53782.87,0.0,C431035662,0.0,53782.87,1,0,1,0,0,0
189,89589.55,C1792634305,0.0,0.0,C875166361,141280.13,230869.67,0,0,1,0,0,0
488,50279.4,C732624402,50279.4,0.0,C1786899731,1108375.76,1158655.16,1,0,1,0,0,0
35,11508.38,C1167335567,434127.16,422618.78,M1745255872,0.0,0.0,0,0,0,0,1,0
181,332729.54,C645124798,0.0,0.0,C1797918851,613712.35,946441.9,1,0,1,0,0,0
300,298969.49,C538382995,29979.0,328948.49,C1477210206,133285.51,0.0,0,0,0,0,0,0
64,17051.69,C759912226,17051.69,0.0,C287309829,0.0,0.0,1,0,0,0,0,1
484,156220.74,C389614238,156220.74,0.0,C643171110,0.0,156220.74,1,0,1,0,0,0
376,314118.31,C1893213122,715972.86,1030091.17,C926553638,335779.72,21661.41,0,0,0,0,0,0
358,10360.51,C1652832992,777.0,0.0,M848350831,0.0,0.0,0,0,0,0,1,0
394,201247.25,C1655225752,201247.25,0.0,C1949844658,0.0,0.0,1,0,0,0,0,1
12,60804.96,C1252286043,0.0,0.0,C472217444,802509.94,863314.9,0,0,1,0,0,0
399,21223.81,C87525240,20005.0,0.0,M2055907482,0.0,0.0,0,0,0,0,1,0
44,109352.27,C1110809521,0.0,109352.27,C652521804,150590.55,180480.13,0,0,0,0,0,0
558,316877.85,C350145239,316877.85,0.0,C1384673123,0.0,0.0,1,0,0,0,0,1
57,157610.11,C1227085633,157610.11,0.0,C1712237759,949587.48,1107197.59,1,0,1,0,0,0
21,136692.89,C1437797301,98718.0,0.0,C1536437514,180001.31,316694.2,0,0,1,0,0,0
350,362536.85,C1734683159,260692.83,0.0,C1899136906,604034.79,966571.64,0,0,1,0,0,0
394,49950.63,C1528504862,49950.63,0.0,C1778014932,460576.82,510527.45,1,0,1,0,0,0
130,67497.01,C575333305,0.0,0.0,C1947645280,2253877.41,2103846.45,0,0,1,0,0,0
342,127018.14,C1626624594,127018.14,0.0,C136299479,0.0,0.0,1,0,0,0,0,1
34,10506.19,C1157124153,0.0,0.0,M230199230,0.0,0.0,0,0,0,0,1,0
322,24843.8,C1474284504,0.0,0.0,C1471610429,103279.55,128123.36,0,0,1,0,0,0
591,609239.75,C1751567663,609239.75,0.0,C129769872,0.0,0.0,1,0,0,0,0,1
398,35104.36,C290444054,49871.0,14766.64,M682852318,0.0,0.0,0,0,0,0,1,0
620,161272.92,C1122962082,161272.92,0.0,C546830525,783850.08,945123.0,1,0,1,0,0,0
10,2061.63,C559420292,9212.0,11273.63,C1846690874,0.0,774240.51,0,0,0,0,0,0
723,128893.5,C690631136,128893.5,0.0,C888357097,0.0,0.0,1,0,0,0,0,1
300,264058.41,C826118779,264058.41,0.0,C2042705874,3298139.38,3562197.79,1,0,1,0,0,0
674,64083.54,C1268763135,64083.54,0.0,C1346372466,0.0,64083.54,1,0,1,0,0,0
96,7695.33,C2039882905,19874.0,12178.67,M312339109,0.0,0.0,0,0,0,0,1,0
326,26143.07,C1761263637,11183.0,0.0,M1999245848,0.0,0.0,0,0,0,0,1,0
530,398711.68,C1554476444,398711.68,0.0,C1448973297,652931.8,1051643.49,1,0,1,0,0,0
215,7684.12,C1880854876,0.0,0.0,C280725400,149182.89,156867.01,0,0,1,0,0,0
255,86119.83,C348787341,1340.0,87459.83,C1826060429,1598641.07,1512521.24,0,0,0,0,0,0
468,19952.89,C10974087,19952.89,0.0,C1896366978,0.0,0.0,1,0,0,0,0,1
378,2701.71,C2008105595,10684.0,7982.29,M1535440876,0.0,0.0,0,0,0,0,1,0
345,8899.57,C338458668,0.0,0.0,M2083953288,0.0,0.0,0,0,0,0,1,0
680,674541.55,C154212994,674541.55,0.0,C674401902,13481.42,688022.97,1,0,1,0,0,0
66,548269.98,C145966586,548269.98,0.0,C979594589,0.0,548269.98,1,0,1,0,0,0
154,61900.73,C1943945671,28213.0,0.0,C756013672,0.0,61900.73,0,0,1,0,0,0
205,475315.61,C917675056,475315.61,0.0,C228772455,0.0,475315.61,1,0,1,0,0,0
140,9638.68,C570595599,1932.0,11570.68,C677236695,0.0,0.0,0,0,0,0,0,0
134,539553.61,C1098987189,20031.0,0.0,C959050985,185651.98,725205.59,0,0,1,0,0,0
273,1272.8,C1428124429,100182.0,98909.2,M90851836,0.0,0.0,0,0,0,0,1,0
130,22007.25,C569994905,332674.51,310667.26,M1397599102,0.0,0.0,0,0,0,0,1,0
354,55753.56,C1401860936,31353.0,87106.56,C94354918,0.0,0.0,0,0,0,0,0,0
254,115784.32,C1451497574,107371.0,0.0,C171164029,147431.18,263215.5,0,0,1,0,0,0
139,326703.98,C2099206009,23975.0,0.0,C1862359483,0.0,326703.98,0,0,1,0,0,0
229,33370.08,C2124084002,20956.0,0.0,C213121728,1880731.97,1914102.05,0,0,1,0,0,0
13,53050.94,C403998488,0.0,0.0,C49156790,1725024.36,1778075.3,0,0,1,0,0,0
33,481.95,C801263579,0.0,0.0,M513731028,0.0,0.0,0,0,0,0,1,0
186,561149.9,C1581439980,561149.9,0.0,C89425517,0.0,561149.9,1,0,1,0,0,0
590,179725.06,C1927794445,179725.06,0.0,C2023155598,131709.81,311434.88,1,0,1,0,0,0
132,16762.94,C1155144048,44.0,0.0,M1756315016,0.0,0.0,0,0,0,0,1,0
121,43357.65,C805284167,43357.65,0.0,C1969723986,661905.95,705263.6,1,0,1,0,0,0
8,1785.55,C1898216826,31242.0,29456.45,M115673470,0.0,0.0,0,0,0,0,1,0
16,16100.53,C2066688043,0.0,0.0,M1226468107,0.0,0.0,0,0,0,0,1,0
187,856386.66,C625994500,856386.66,0.0,C2116199681,0.0,0.0,1,0,0,0,0,1
84,8380.79,C342648059,8380.79,0.0,C825022387,0.0,8380.79,1,0,1,0,0,0
187,113375.34,C1598866339,0.0,0.0,C1346052990,4198178.65,4311553.99,0,0,1,0,0,0
284,179354.41,C1846034206,0.0,0.0,C1529440035,2929080.32,3108434.73,0,0,1,0,0,0
510,844348.52,C1071582702,844348.52,0.0,C2098599173,37158.79,881507.31,1,0,1,0,0,0
93,38150.22,C458914580,38150.22,0.0,C1918475530,30220.14,68370.36,1,0,1,0,0,0
255,8246.81,C1489598059,200577.68,192330.87,M1465147412,0.0,0.0,0,0,0,0,1,0
322,365114.84,C516411527,365114.84,0.0,C1860612852,0.0,0.0,1,0,0,0,0,1
108,36847.9,C696671781,36847.9,0.0,C1532653479,0.0,0.0,1,0,0,0,0,1
290,559565.82,C322093816,559565.82,0.0,C1267169674,0.0,0.0,1,0,0,0,0,1
223,468446.77,C1278233953,468446.77,0.0,C1583808597,0.0,0.0,1,0,0,0,0,1
203,45418.98,C1334978002,10573.0,0.0,C990719499,516050.0,561468.98,0,0,1,0,0,0
43,328218.69,C30493332,70296.0,0.0,C500556085,0.0,328218.69,0,0,1,0,0,0
444,178616.12,C468251407,178616.12,0.0,C1669286784,0.0,178616.12,1,0,1,0,0,0
466,104171.37,C952245558,104171.37,0.0,C2101227966,0.0,0.0,1,0,0,0,0,1
413,781.93,C765542,781.93,0.0,C1959655312,0.0,0.0,1,0,0,0,0,1
3,545.68,C1871048194,0.0,0.0,M1738345448,0.0,0.0,0,0,0,0,1,0
201,745687.39,C1056728211,20611.0,0.0,C1251860352,0.0,745687.39,0,0,0,0,0,1
439,203119.08,C860758125,203119.08,0.0,C998349190,1163234.67,1366353.75,1,0,1,0,0,0
306,361497.52,C531754091,0.0,0.0,C724273633,1959761.42,2321258.94,0,0,1,0,0,0
411,365069.45,C337746955,365069.45,0.0,C1144989996,0.0,0.0,1,0,0,0,0,1
56,82767.31,C447204018,82767.31,0.0,C1405076025,0.0,0.0,1,0,0,0,0,1
577,113687.0,C379022466,113687.0,0.0,C1223894198,0.0,0.0,1,0,0,0,0,1
