step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
395,171880.67,171880.67,0.0,0.0,0.0,0,0,0,0,1,1
438,176776.55,176776.55,0.0,0.0,0.0,0,0,0,0,1,1
247,333082.71,333082.71,0.0,122730.47,455813.18,0,1,0,0,0,1
205,566156.42,566156.42,0.0,0.0,0.0,0,0,0,0,1,1
232,7523.57,16004.0,8480.43,0.0,0.0,0,0,0,1,0,0
565,325668.67,325668.67,0.0,0.0,0.0,0,0,0,0,1,1
496,174725.11,174725.11,0.0,0.0,0.0,0,0,0,0,1,1
238,4721.15,49758.0,45036.85,0.0,0.0,0,0,0,1,0,0
461,125153.57,125153.57,0.0,7517.14,132670.71,0,1,0,0,0,1
552,492003.04,492003.04,0.0,24292.72,516295.76,0,1,0,0,0,1
563,25529.76,25529.76,0.0,0.0,0.0,0,0,0,0,1,1
595,76732.89,76732.89,0.0,337482.64,414215.54,0,1,0,0,0,1
140,6783.47,6783.47,0.0,0.0,0.0,0,0,0,0,1,1
465,44946.2,44946.2,0.0,0.0,0.0,0,0,0,0,1,1
132,208298.6,37931.0,0.0,3932563.34,4140861.93,0,1,0,0,0,0
279,144844.05,0.0,0.0,169247.76,314091.81,0,1,0,0,0,0
281,383231.48,0.0,0.0,1180333.6,1563565.08,0,1,0,0,0,0
554,346795.44,346795.44,0.0,0.0,346795.44,0,1,0,0,0,1
34,16968.66,5081.0,0.0,0.0,0.0,0,0,0,1,0,0
135,438221.94,38805.0,0.0,852375.56,1290597.49,0,0,0,0,1,0
478,829286.58,829286.58,0.0,0.0,0.0,0,0,0,0,1,1
300,25328.12,4450.0,0.0,0.0,0.0,0,0,0,1,0,0
511,2491.85,2491.85,0.0,0.0,0.0,0,0,0,0,1,1
612,49423.31,49423.31,0.0,0.0,0.0,0,0,0,0,1,1
323,35253.26,0.0,0.0,0.0,0.0,0,0,0,1,0,0
341,127528.92,127528.92,0.0,0.0,0.0,0,0,0,0,1,1
286,306192.14,18273.42,0.0,2931286.52,3237478.66,0,1,0,0,0,0
297,57466.42,57466.42,0.0,0.0,0.0,0,0,0,0,1,1
355,76711.95,202519.0,125807.05,1465484.47,1569939.9,0,1,0,0,0,0
251,130153.08,11050.0,141203.08,46251.67,0.0,0,0,0,0,0,0
155,229447.72,11971.0,0.0,0.0,229447.72,0,1,0,0,0,0
719,366896.03,366896.03,0.0,0.0,0.0,0,0,0,0,1,1
187,1879.6,0.0,0.0,0.0,0.0,0,0,0,1,0,0
153,832.77,62659.0,61826.23,0.0,0.0,0,0,0,1,0,0
396,5690.71,0.0,0.0,0.0,0.0,0,0,0,1,0,0
40,26950.06,26950.06,0.0,0.0,0.0,0,0,0,0,1,1
644,228751.77,228751.77,0.0,702234.36,930986.13,0,1,0,0,0,1
228,81087.14,106.0,0.0,372978.99,454066.13,0,1,0,0,0,0
62,407833.62,407833.62,0.0,0.0,407833.62,0,1,0,0,0,1
484,156220.74,156220.74,0.0,0.0,156220.74,0,1,0,0,0,1
395,171880.67,171880.67,0.0,2893198.81,3086348.25,0,1,0,0,0,1
349,55438.51,22138.0,0.0,0.0,55438.51,0,1,0,0,0,0
8,1996.17,1996.17,0.0,2559.74,4555.92,0,1,0,0,0,1
404,40359.75,40359.75,0.0,0.0,0.0,0,0,0,0,1,1
206,413981.07,32013.0,445994.07,96397.71,0.0,0,0,0,0,0,0
40,96669.41,312046.0,215376.59,245320.27,341989.68,0,1,0,0,0,0
169,19244.9,19244.9,0.0,264512.88,283757.78,0,1,0,0,0,1
279,98897.07,98897.07,0.0,497573.39,596470.46,0,1,0,0,0,1
144,255838.84,0.0,0.0,3742379.48,3998218.32,0,1,0,0,0,0
565,757401.17,757401.17,0.0,465267.97,1222669.13,0,1,0,0,0,1
139,532682.39,0.0,0.0,3241809.89,3774492.28,0,1,0,0,0,0
58,109525.67,109525.67,0.0,3997342.61,4106868.28,0,1,0,0,0,1
302,362977.73,36085.0,0.0,78013.14,440990.86,0,1,0,0,0,0
275,262960.14,0.0,0.0,652747.53,915707.67,0,1,0,0,0,0
661,22636.15,139.0,0.0,0.0,22636.15,0,1,0,0,0,0
236,75708.87,75708.87,0.0,4816.38,80525.25,0,1,0,0,0,1
224,99316.36,99316.36,0.0,0.0,0.0,0,0,0,0,1,1
144,343999.8,343999.8,0.0,33423.37,377423.17,0,1,0,0,0,1
231,13962.0,13962.0,0.0,0.0,13962.0,0,1,0,0,0,1
656,168287.1,49531.0,0.0,0.0,168287.1,0,1,0,0,0,0
281,204778.86,204778.86,0.0,1325029.54,1529808.39,0,1,0,0,0,1
18,4327.88,485533.92,481206.05,0.0,0.0,0,0,0,1,0,0
9,328105.44,0.0,0.0,396093.28,385750.42,0,1,0,0,0,0
291,145035.4,145035.4,0.0,89193.96,234229.36,0,1,0,0,0,1
186,44831.6,100045.0,55213.4,0.0,0.0,0,0,0,1,0,0
361,140807.76,140807.76,0.0,0.0,0.0,0,0,0,0,1,1
194,21741.36,21741.36,0.0,0.0,0.0,0,0,0,0,1,1
349,98736.52,98736.52,0.0,0.0,98736.52,0,1,0,0,0,1
512,718350.64,718350.64,0.0,0.0,718350.64,0,1,0,0,0,1
700,113447.92,113447.92,0.0,4125541.75,4238989.66,0,1,0,0,0,1
74,158489.29,158489.29,0.0,0.0,158489.29,0,1,0,0,0,1
156,619836.33,619836.33,0.0,0.0,0.0,0,0,0,0,1,1
182,158517.85,0.0,0.0,750750.13,909267.97,0,1,0,0,0,0
187,44164.0,44164.0,0.0,0.0,0.0,0,0,0,0,1,1
5,10119.47,10119.47,0.0,0.0,0.0,0,0,0,0,1,1
296,890964.06,890964.06,0.0,0.0,0.0,0,0,0,0,1,1
42,5072.19,4202.0,0.0,0.0,0.0,0,0,0,1,0,0
84,296349.8,296349.8,0.0,0.0,296349.8,0,1,0,0,0,1
357,251199.91,251199.91,0.0,0.0,251199.91,0,1,0,0,0,1
608,388171.95,388171.95,0.0,0.0,0.0,0,0,0,0,1,1
628,385207.12,385207.12,0.0,0.0,0.0,0,0,0,0,1,1
741,62297.18,62297.18,0.0,0.0,0.0,0,0,0,0,1,1
149,14016.65,14016.65,0.0,1818633.89,1832650.55,0,1,0,0,0,1
34,865948.49,865948.49,0.0,0.0,865948.49,0,1,0,0,0,1
151,147080.42,147080.42,0.0,0.0,147080.42,0,1,0,0,0,1
193,48555.85,17221.0,0.0,0.0,48555.85,0,1,0,0,0,0
289,196149.04,196149.04,0.0,193203.94,389352.99,0,1,0,0,0,1
730,338364.14,338364.14,0.0,0.0,0.0,0,0,0,0,1,1
300,176059.16,176059.16,0.0,0.0,0.0,0,0,0,0,1,1
354,11463.47,23958.68,12495.21,0.0,0.0,0,0,0,1,0,0
717,407275.43,407275.43,0.0,2202883.5,2610158.93,0,1,0,0,0,1
117,251621.18,251621.18,0.0,0.0,0.0,0,0,0,0,1,1
637,447474.67,447474.67,0.0,0.0,0.0,0,0,0,0,1,1
85,4094.07,4094.07,0.0,0.0,0.0,0,0,0,0,1,1
311,268366.47,268366.47,0.0,0.0,0.0,0,0,0,0,1,1
260,198059.84,21263.0,219322.84,0.0,0.0,0,0,0,0,0,0
283,174568.2,0.0,0.0,244890.4,419458.61,0,1,0,0,0,0
274,4252.21,7537.79,3285.58,0.0,0.0,0,0,0,1,0,0
597,88099.88,88099.88,0.0,949442.18,1037542.06,0,1,0,0,0,1
13,552590.15,29974.0,582564.15,0.0,0.0,0,0,0,0,0,0
46,35016.23,35016.23,0.0,0.0,0.0,0,0,0,0,1,1
668,307455.42,307455.42,0.0,0.0,307455.42,0,1,0,0,0,1
196,436035.29,436035.29,0.0,0.0,0.0,0,0,0,0,1,1
106,8999.56,8999.56,0.0,0.0,0.0,0,0,0,0,1,1
95,53062.52,53062.52,0.0,0.0,0.0,0,0,0,0,1,1
209,22812.83,29320.0,6507.17,0.0,0.0,0,0,0,1,0,0
336,786573.0,786573.0,0.0,0.0,786573.0,0,1,0,0,0,1
297,402295.01,1778.0,0.0,33293.05,435588.07,0,1,0,0,0,0
400,110410.58,705971.03,816381.61,2796489.34,2686078.75,0,0,0,0,0,0
164,354581.35,137765.27,492346.62,4583669.26,4229087.91,0,0,0,0,0,0
395,45252.16,0.0,0.0,3971750.82,4017002.99,0,1,0,0,0,0
368,200419.12,200419.12,0.0,0.0,0.0,0,0,0,0,1,1
208,2888.42,167.0,0.0,0.0,0.0,0,0,0,1,0,0
259,29846.53,0.0,0.0,279511.62,309358.15,0,1,0,0,0,0
38,9010.85,20183.0,11172.15,0.0,0.0,0,0,0,1,0,0
172,70072.66,70072.66,0.0,0.0,0.0,0,0,0,0,1,1
396,47916.79,52815.0,4898.21,825042.36,693534.7,0,1,0,0,0,0
161,340426.03,9500.0,0.0,960567.15,1300993.18,0,1,0,0,0,0
628,99165.12,99165.12,0.0,58926.37,158091.49,0,1,0,0,0,1
404,16183.51,0.0,0.0,0.0,0.0,0,0,0,1,0,0
331,212700.31,11654.0,0.0,0.0,212700.31,0,1,0,0,0,0
501,161024.8,161024.8,0.0,0.0,0.0,0,0,0,0,1,1
241,657417.64,657417.64,0.0,0.0,0.0,0,0,0,0,1,1
326,95729.86,0.0,0.0,340014.4,435744.26,0,1,0,0,0,0
402,48266.8,48266.8,0.0,77475.93,125742.73,0,1,0,0,0,1
395,47984.43,47984.43,0.0,0.0,0.0,0,0,0,0,1,1
105,216351.05,216351.05,0.0,0.0,216351.05,0,1,0,0,0,1
373,82750.0,82750.0,0.0,0.0,0.0,0,0,0,0,1,1
121,130987.75,130987.75,0.0,0.0,130987.75,0,1,0,0,0,1
644,628033.58,628033.58,0.0,0.0,0.0,0,0,0,0,1,1
691,337084.74,1021.0,0.0,0.0,337084.74,0,1,0,0,0,0
132,202385.77,51800.0,254185.77,1434888.53,1232502.76,0,0,0,0,0,0
399,58573.7,9052.94,0.0,0.0,0.0,0,0,0,1,0,0
225,2954.93,39166.71,36211.78,0.0,0.0,0,0,0,1,0,0
303,97507.21,33860.0,0.0,201641.39,299148.6,0,1,0,0,0,0
350,3811.59,2661.0,0.0,0.0,0.0,0,0,0,1,0,0
157,169371.94,9279.0,178650.94,0.0,0.0,0,0,0,0,0,0
280,268762.37,268762.37,0.0,864874.76,1133637.14,0,1,0,0,0,1
450,422261.63,422261.63,0.0,872573.61,1294835.24,0,1,0,0,0,1
284,8066.34,18486.0,10419.66,0.0,0.0,0,0,0,1,0,0
692,70398.12,0.0,0.0,565739.66,636137.77,0,1,0,0,0,0
379,140233.47,0.0,0.0,1818208.55,1958442.01,0,1,0,0,0,0
208,414238.54,11362.0,0.0,2427278.54,2841517.07,0,0,0,0,1,0
232,410032.2,0.0,0.0,1248939.04,1658971.24,0,1,0,0,0,0
725,873322.61,873322.61,0.0,0.0,0.0,0,0,0,0,1,1
14,65488.05,65488.05,0.0,0.0,0.0,0,0,0,0,1,1
525,285583.37,0.0,0.0,471791.9,757375.27,0,0,0,0,1,0
36,51666.63,17272.0,68938.63,869344.2,817677.57,0,0,0,0,0,0
526,200008.33,200008.33,0.0,0.0,0.0,0,0,0,0,1,1
276,17925.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0
39,39013.3,39013.3,0.0,924162.55,1089489.11,0,1,0,0,0,1
743,339682.13,339682.13,0.0,0.0,339682.13,0,1,0,0,0,1
464,880975.83,880975.83,0.0,1271.78,882247.61,0,1,0,0,0,1
235,139848.8,748.0,0.0,401482.25,541331.05,0,1,0,0,0,0
45,12040.42,0.0,0.0,0.0,0.0,0,0,0,1,0,0
93,315654.19,315654.19,0.0,0.0,315654.19,0,1,0,0,0,1
372,230965.93,0.0,0.0,768549.78,999515.71,0,1,0,0,0,0
42,36359.57,36359.57,0.0,0.0,0.0,0,0,0,0,1,1
650,71666.93,71666.93,0.0,83551.03,155217.96,0,1,0,0,0,1
190,12036.4,1809.0,0.0,0.0,0.0,0,0,0,1,0,0
461,226689.16,226689.16,0.0,0.0,0.0,0,0,0,0,1,1
100,54994.1,54994.1,0.0,0.0,0.0,0,0,0,0,1,1
326,440777.48,15576.0,456353.48,42965.25,0.0,0,0,0,0,0,0
157,193794.36,27406.0,221200.36,0.0,0.0,0,0,0,0,0,0
73,193663.9,193663.9,0.0,0.0,0.0,0,0,0,0,1,1
626,44577.32,44577.32,0.0,61298.8,105876.12,0,1,0,0,0,1
281,146415.04,151739.52,5324.48,150128.92,296543.97,0,1,0,0,0,0
188,92821.09,0.0,0.0,632683.0,753066.01,0,1,0,0,0,0
317,7535.58,7535.58,0.0,44609.54,52145.11,0,1,0,0,0,1
130,262988.91,91260.0,0.0,421320.34,684309.26,0,1,0,0,0,0
666,504362.34,504362.34,0.0,0.0,504362.34,0,1,0,0,0,1
185,32842.39,0.0,0.0,0.0,0.0,0,0,0,1,0,0
308,67466.5,0.0,0.0,0.0,0.0,0,0,0,1,0,0
189,5480.07,41358.0,35877.93,0.0,0.0,0,0,0,1,0,0
299,1364.06,1871.0,506.94,0.0,0.0,0,0,0,1,0,0
274,12621.51,11203.0,0.0,0.0,0.0,0,0,0,1,0,0
501,824841.09,824841.09,0.0,0.0,0.0,0,0,0,0,1,1
721,23639.56,23639.56,0.0,0.0,0.0,0,0,0,0,1,1
234,249106.87,361095.66,610202.52,1434497.95,1185391.09,0,0,0,0,0,0
233,597411.76,597411.76,0.0,2035697.45,2633109.21,0,1,0,0,0,1
184,7002.7,0.0,0.0,0.0,0.0,0,0,0,1,0,0
98,63624.08,63624.08,0.0,0.0,63624.08,0,1,0,0,0,1
724,89845.29,89845.29,0.0,0.0,0.0,0,0,0,0,1,1
349,14279.89,14279.89,0.0,0.0,0.0,0,0,0,0,1,1
324,84568.62,146.0,84714.62,624376.08,539807.45,0,0,0,0,0,0
277,243289.53,492578.0,249288.47,0.0,243289.53,0,1,0,0,0,0
643,1707.4,1707.4,0.0,0.0,0.0,0,0,0,0,1,1
394,38546.98,729.0,0.0,0.0,38546.98,0,1,0,0,0,0
250,156039.36,156039.36,0.0,0.0,0.0,0,0,0,0,1,1
209,2892.21,77186.0,74293.79,0.0,0.0,0,0,0,1,0,0
229,708321.58,6388.0,0.0,2620371.14,3328692.72,0,0,0,0,1,0
427,426173.04,426173.04,0.0,0.0,426173.04,0,1,0,0,0,1
304,4519.78,0.0,0.0,0.0,0.0,0,0,0,1,0,0
462,67921.66,67921.66,0.0,338544.14,406465.81,0,1,0,0,0,1
207,88.92,25937.0,25848.08,0.0,0.0,0,0,0,1,0,0
699,148714.54,148714.54,0.0,0.0,0.0,0,0,0,0,1,1
287,712488.25,712488.25,0.0,0.0,712488.25,0,1,0,0,0,1
719,67299.57,67299.57,0.0,303173.2,370472.77,0,1,0,0,0,1
230,4333.06,0.0,0.0,0.0,0.0,0,0,0,1,0,0
205,164620.93,21279.0,0.0,1197138.06,1361758.99,0,1,0,0,0,0
664,331729.06,331729.06,0.0,0.0,0.0,0,0,0,0,1,1
14,1327.65,17039.0,15711.35,0.0,0.0,0,0,0,1,0,0
504,262678.53,262678.53,0.0,577129.04,839807.57,0,1,0,0,0,1
113,314976.75,314976.75,0.0,0.0,314976.75,0,1,0,0,0,1
282,128005.51,0.0,0.0,156179.09,284184.6,0,1,0,0,0,0
402,20758.44,0.0,0.0,0.0,0.0,0,0,0,1,0,0
262,3441.47,104915.0,101473.53,0.0,0.0,0,0,0,1,0,0
592,2000.19,357694.99,355694.8,0.0,0.0,0,0,0,1,0,0
44,3981.08,40191.0,36209.92,0.0,0.0,0,0,0,1,0,0
328,114649.75,0.0,0.0,1903831.22,2018480.98,0,1,0,0,0,0
11,7990.78,0.0,0.0,0.0,0.0,0,0,0,1,0,0
512,684266.09,684266.09,0.0,0.0,0.0,0,0,0,0,1,1
15,25212.58,10698.02,0.0,0.0,0.0,0,0,0,1,0,0
38,17263.11,0.0,0.0,0.0,0.0,0,0,0,1,0,0
522,59250.11,59250.11,0.0,1142307.7,1201557.81,0,1,0,0,0,1
226,272829.71,0.0,0.0,3556114.11,3771468.68,0,0,0,0,1,0
393,290198.92,290198.92,0.0,0.0,0.0,0,0,0,0,1,1
44,44571.94,44571.94,0.0,0.0,0.0,0,0,0,0,1,1
63,14017.38,14017.38,0.0,0.0,14017.38,0,1,0,0,0,1
29,268641.82,268641.82,0.0,0.0,0.0,0,0,0,0,1,1
648,774868.1,774868.1,0.0,131877.41,906745.51,0,1,0,0,0,1
20,448025.06,448025.06,0.0,71679.93,519704.99,0,1,0,0,0,1
287,223730.4,223730.4,0.0,0.0,0.0,0,0,0,0,1,1
393,438186.74,0.0,0.0,2943252.63,3381439.37,0,0,0,0,1,0
13,59818.44,0.0,0.0,966763.4,793051.96,0,1,0,0,0,0
331,161859.16,161859.16,0.0,0.0,0.0,0,0,0,0,1,1
66,107188.41,107188.41,0.0,696135.43,803323.83,0,1,0,0,0,1
378,124199.43,17688.0,0.0,328754.57,452954.0,0,1,0,0,0,0
215,29716.56,0.0,0.0,0.0,0.0,0,0,0,1,0,0
215,87767.88,0.0,0.0,486552.04,574319.92,0,1,0,0,0,0
317,681007.64,681007.64,0.0,660790.68,1341798.32,0,1,0,0,0,1
355,13284.66,37106.0,23821.34,0.0,0.0,0,0,0,1,0,0
235,470672.35,0.0,0.0,894767.97,1365440.32,0,1,0,0,0,0
375,667733.81,667733.81,0.0,1287353.94,1955087.75,0,1,0,0,0,1
18,662.79,0.0,0.0,0.0,0.0,0,0,0,1,0,0
234,6344.26,59804.0,53459.74,0.0,6344.26,0,1,0,0,0,0
230,72133.84,0.0,0.0,116013.31,188147.15,0,1,0,0,0,0
350,29306.08,0.0,0.0,0.0,0.0,0,0,0,1,0,0
404,73133.62,60388.0,0.0,24143.01,97276.63,0,1,0,0,0,0
371,272803.6,809.0,273612.6,2418175.85,2145372.25,0,0,0,0,0,0
203,102924.68,6093.0,0.0,0.0,102924.68,0,1,0,0,0,0
369,8602.92,0.0,0.0,0.0,0.0,0,0,0,1,0,0
522,545780.7,545780.7,0.0,0.0,0.0,0,0,0,0,1,1
137,14142.74,0.0,0.0,0.0,0.0,0,0,0,1,0,0
260,118176.3,506496.0,388319.7,504477.05,622653.36,0,1,0,0,0,0
491,580387.06,580387.06,0.0,0.0,0.0,0,0,0,0,1,1
324,148606.92,335758.46,484365.38,848597.37,699990.46,0,0,0,0,0,0
399,10304.05,0.0,0.0,0.0,0.0,0,0,0,1,0,0
324,11941.25,0.0,0.0,0.0,0.0,0,0,0,1,0,0
165,3547.88,25056.0,28603.88,0.0,0.0,0,0,0,0,0,0
328,98616.6,0.0,0.0,887950.96,986567.57,0,1,0,0,0,0
164,25696.36,278970.84,253274.48,255113.84,280810.2,0,1,0,0,0,0
480,181104.66,181104.66,0.0,0.0,0.0,0,0,0,0,1,1
334,126140.86,350287.0,224146.14,151134.05,277274.92,0,0,0,0,1,0
309,96474.91,96474.91,0.0,0.0,96474.91,0,1,0,0,0,1
391,47721.95,47721.95,0.0,0.0,0.0,0,0,0,0,1,1
643,1707.4,1707.4,0.0,0.0,1707.4,0,1,0,0,0,1
221,684174.46,684174.46,0.0,455610.6,1139785.06,0,1,0,0,0,1
584,777448.03,777448.03,0.0,76927.01,854375.05,0,1,0,0,0,1
664,62184.44,62184.44,0.0,0.0,62184.44,0,1,0,0,0,1
284,558050.49,558050.49,0.0,105134.97,810052.81,0,1,0,0,0,1
40,68163.66,0.0,0.0,2063412.62,2131576.28,0,1,0,0,0,0
282,4441.72,0.0,0.0,0.0,0.0,0,0,0,1,0,0
379,94016.05,92921.0,0.0,1396763.31,1490779.36,0,1,0,0,0,0
139,253500.22,9384.0,262884.22,3234716.2,2981215.98,0,0,0,0,0,0
350,207517.2,207517.2,0.0,0.0,207517.2,0,1,0,0,0,1
232,154449.38,14393.0,168842.38,243207.7,88758.32,0,0,0,0,0,0
546,58620.62,10928.0,69548.62,21423.7,0.0,0,0,0,0,0,0
492,7027.45,0.0,0.0,0.0,0.0,0,0,0,1,0,0
206,117048.73,0.0,0.0,1924185.6,2041234.33,0,0,0,0,1,0
646,568292.72,568292.72,0.0,0.0,568292.72,0,1,0,0,0,1
345,132973.41,132973.41,0.0,0.0,0.0,0,0,0,0,1,1
733,905919.58,905919.58,0.0,0.0,0.0,0,0,0,0,1,1
339,6515.64,6515.64,0.0,15607.94,22123.59,0,1,0,0,0,1
701,79581.24,79581.24,0.0,0.0,0.0,0,0,0,0,1,1
511,150929.12,150929.12,0.0,136233.24,287162.36,0,1,0,0,0,1
498,207261.07,207261.07,0.0,48221.7,255482.77,0,1,0,0,0,1
555,24424.67,24424.67,0.0,0.0,24424.67,0,1,0,0,0,1
33,2922.96,4101.0,1178.04,0.0,0.0,0,0,0,1,0,0
484,26654.46,26654.46,0.0,0.0,0.0,0,0,0,0,1,1
323,38542.71,0.0,0.0,109906.09,148448.79,0,1,0,0,0,0
724,72389.42,72389.42,0.0,0.0,0.0,0,0,0,0,1,1
20,148868.64,1076.0,0.0,140277.79,289146.43,0,1,0,0,0,0
488,27696.89,27696.89,0.0,0.0,0.0,0,0,0,0,1,1
302,423393.22,104602.06,0.0,2350263.56,2773656.78,0,1,0,0,0,0
210,212.92,4171.0,3958.08,92691.62,92904.54,0,1,0,0,0,0
21,785323.0,785323.0,0.0,803839.25,1720783.92,0,1,0,0,0,1
283,127710.36,147537.64,275248.0,183936.67,56226.3,0,0,0,0,0,0
157,117125.09,0.0,0.0,307171.3,424296.38,0,1,0,0,0,0
20,4015.57,11.0,0.0,0.0,0.0,0,0,0,1,0,0
329,23421.77,304255.47,280833.7,0.0,0.0,0,0,0,1,0,0
260,259114.05,20498.0,279612.05,165103.21,0.0,0,0,0,0,0,0
232,112552.84,0.0,0.0,2353005.01,2465557.85,0,1,0,0,0,0
450,146061.11,146061.11,0.0,37501.29,183562.4,0,1,0,0,0,1
350,257988.47,257988.47,0.0,379488.01,637476.48,0,1,0,0,0,1
90,703833.48,703833.48,0.0,0.0,0.0,0,0,0,0,1,1
13,194564.33,11911.0,206475.33,780348.06,585783.73,0,0,0,0,0,0
179,2941.04,35101.0,32159.96,0.0,0.0,0,0,0,1,0,0
45,217255.97,217255.97,0.0,2115234.86,2332490.82,0,1,0,0,0,1
370,563149.41,563149.41,0.0,65562.72,628712.13,0,1,0,0,0,1
356,13035.79,151281.75,138245.96,0.0,0.0,0,0,0,1,0,0
738,814689.88,814689.88,0.0,0.0,0.0,0,0,0,0,1,1
155,24031.75,103206.0,79174.25,0.0,0.0,0,0,0,1,0,0
70,266766.78,266766.78,0.0,0.0,0.0,0,0,0,0,1,1
1,181.0,181.0,0.0,0.0,0.0,0,0,0,0,1,1
128,138993.63,138993.63,0.0,0.0,0.0,0,0,0,0,1,1
253,414594.21,12717.0,427311.21,33819.71,0.0,0,0,0,0,0,0
666,145944.8,145944.8,0.0,0.0,0.0,0,0,0,0,1,1
